businessUnit_name,Description,Address,City,County,State,Postal Code,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status
PARKESBURG PA,WM Supercenter,100 COMMONS DR,PARKESBURG,CHESTER,PA,19365-2150,2945,Yes,Available,Yes,Available
FORT LAUDERDALE BRWD BLVD & I-95 FL,WM Supercenter,2500 W BROWARD BLVD,FORT LAUDERDALE,BROWARD,FL,33312-1300,2946,No,Available,No,Available
"VANCOUVER, WA",Wal-Mart,9000 NE HIGHWAY 99,VANCOUVER,CLARK,WA,98665-8923,2947,No,,Yes,
SANTA FE SPRINGS CA,WM Supercenter,13310 TELEGRAPH RD,SANTA FE SPRINGS,LOS ANGELES,CA,90670-4016,2948,No,Not Available,Yes,Not Available
"PARSONS, KS",WM Supercenter,3201 NO 16TH ST,PARSONS,LABETTE,KS,67357-3472,368,Yes,,Yes,Available
EUREKA MO,WM Supercenter,131 EUREKA TOWNE CENTER DR,EUREKA,ST. LOUIS,MO,63025-1031,295,Yes,Available,Yes,Available
"PALMDALE (EAST), CA",WM Supercenter,37140 47TH ST E,PALMDALE,LOS ANGELES,CA,93552-4450,2950,No,Available,Yes,Available
"LANCASTER (EAST),CA",WM Supercenter,1731 E AVENUE J,LANCASTER,LOS ANGELES,CA,93535-6928,2951,Yes,Available,Yes,Available
"MURRIETA, CA",Wal-Mart,41200 MURRIETA HOT SPRINGS RD,MURRIETA,RIVERSIDE,CA,92562-9479,2952,No,,No,
"SWANSEA, MA",WM Supercenter,54 COUSINEAU DR,SWANSEA,BRISTOL,MA,02777-4136,2953,No,Available,Yes,Available
"NORWALK, CT",Wal-Mart,650 MAIN AVE,NORWALK,FAIRFIELD,CT,06851-1126,2954,No,,No,
KANSAS CITY MO,WM Supercenter,1701 W 133RD ST,KANSAS CITY,JACKSON,MO,64145-1631,2955,No,Available,Yes,Not Available
"JOLIET (N), IL",WM Supercenter,1401 IL ROUTE 59,SHOREWOOD,WILL,IL,60431-8209,2956,No,Available,No,Available
"DETROIT LAKES, MN",WM Supercenter,1583 HIGHWAY 10 W,DETROIT LAKES,BECKER,MN,56501-2232,2957,No,,Yes,Available
APPLETON (E),WM Supercenter,3701 E CALUMET ST,APPLETON,CALUMET,WI,54915-4149,2958,No,Available,Yes,Available
ROSEVILLE,WM Supercenter,28804 GRATIOT AVE,ROSEVILLE,MACOMB,MI,48066-4235,2959,No,Not Available,Yes,Not Available
WINFIELD KS,WM Supercenter,2202 PIKE RD,WINFIELD,COWLEY,KS,67156-5400,369,Yes,,Yes,
DARDANELLE AR,WM Supercenter,1172 N STATE HIGHWAY 7,DARDANELLE,YELL,AR,72834-6000,296,No,,No,Available
POMPANO BEACH FL,WM Supercenter,2300 W ATLANTIC BLVD,POMPANO BEACH,BROWARD,FL,33069-2655,2962,No,Available,No,Not Available
"SANTA ISABEL,PR",WM Supercenter,CARR ESTATAL #153 KM 7.2,SANTA ISABEL,MANATI,PR,00757-0000,3693,No,Not Available,No,Not Available
"CORAL SPRINGS, FL",WM Supercenter,6001 CORAL RIDGE DR,CORAL SPRINGS,BROWARD,FL,33076-3306,2963,No,Available,Yes,Available
"LEOMINSTER, MA",WM Supercenter,11 JUNGLE RD,LEOMINSTER,WORCESTER,MA,01453-5207,2964,No,Available,Yes,Available
"NEWINGTON, CT",Wal-Mart,3164 BERLIN TPKE,NEWINGTON,HARTFORD,CT,06111-4627,2965,Yes,,Yes,
WADSWORTH OH,WM Supercenter,222 E SMOKERISE DR,WADSWORTH,MEDINA,OH,44281-8277,2966,No,Not Available,Yes,Available
"FORT WRIGHT, KY",WM Supercenter,3450 VALLEY PLAZA PKWY,FT WRIGHT,KENTON,KY,41017-8177,2967,Yes,,Yes,Available
"CARROLLTON, KY",WM Supercenter,200 FLOYD DR,CARROLLTON,CARROLL,KY,41008-8231,2968,No,,No,
FARMINGTON MO,WM Supercenter,707 WALTON DR,FARMINGTON,ST. FRANCOIS,MO,63640-1950,37,No,Available,Yes,Available
PORTER TX,WM Supercenter,23561 US HWY 59,PORTER,MONTGOMERY,TX,77365-4991,297,Yes,Available,Yes,Available
WELLINGTON KS,WM Supercenter,2022 E 16TH ST,WELLINGTON,SUMNER,KS,67152-8151,370,No,,No,
"INDIAN TRAIL, NC",WM Supercenter,2101 YOUNTS RD,INDIAN TRAIL,UNION,NC,28079-8505,3700,No,Available,No,Available
"MOUNT OLIVE, NC",WM Supercenter,308 NC HIGHWAY 55 W,MOUNT OLIVE,WAYNE,NC,28365-8526,3701,Yes,Available,Yes,Available
"JACKSONVILLE (N), FL",WM Supercenter,13227 CITY SQUARE DR,JACKSONVILLE,DUVAL,FL,32218-7218,3702,Yes,Available,Yes,Available
"MURPHY, TX",WM Supercenter,115 WEST FM 544,MURPHY,COLLIN,TX,75094-4580,2973,No,Available,No,Available
"KENNER (WILL & ESPL), LA",Neighborhood Market,3520 WILLIAMS BLVD,KENNER,JEFFERSON,LA,70065-3415,3703,Yes,Available,Yes,Available
RICHARDSON TX,Neighborhood Market,1501 BUCKINGHAM RD,RICHARDSON,COLLIN,TX,75081-5304,2974,No,Not Available,No,Not Available
"GARLAND, TX",Neighborhood Market,3959 BROADWAY BLVD,GARLAND,DALLAS,TX,75043-2586,2975,No,,No,Available
"YELM, WA",WM Supercenter,17100 STATE ROUTE 507 SE,YELM,THURSTON,WA,98597-7605,3705,No,,Yes,Available
"MESQUITE, TX",Neighborhood Market,915 N TOWN EAST BLVD,MESQUITE,DALLAS,TX,75150-4743,2976,No,,No,Not Available
"ARLINGTON, TX",Neighborhood Market,735 W SUBLETT RD,ARLINGTON,TARRANT,TX,76017-6404,2977,No,,No,Not Available
"FORT WORTH (S), TX",WM Supercenter,7451 MCCART AVE,FORT WORTH,TARRANT,TX,76133-7296,2978,Yes,Available,Yes,Available
SUISAN CITY CA,WM Supercenter,350 WALTERS RD,SUISUN CITY,SOLANO,CA,94585-3043,3708,Yes,Available,Yes,Available
"FORT WORTH (NE), TX",Neighborhood Market,7401 PARK VISTA BLVD,FORT WORTH,TARRANT,TX,76137-3769,2979,No,Available,No,Available
"ATLANTA (GRESHAM), GA",WM Supercenter,2427 GRESHAM RD SE,ATLANTA,FULTON,GA,30316-3709,3709,Yes,Available,Yes,Available
BOAZ AL,WM Supercenter,1972 HWY 431,BOAZ,MARSHALL,AL,35957-5901,298,No,,Yes,Not Available
GRANBURY TX,WM Supercenter,735 E HIGHWAY 377,GRANBURY,HOOD,TX,76048-2578,371,No,,Yes,Available
"FT WORTH (N), TX",WM Supercenter,8520 N BEACH ST,FORT WORTH,TARRANT,TX,76244-4918,2980,No,,Yes,Available
"DECATUR (W), GA",WM Supercenter,3580 MEMORIAL DR,DECATUR,DEKALB,GA,30032-2723,3710,Yes,Available,Yes,Available
"KELLER, TX",Neighborhood Market,2130 RUFE SNOW DR,KELLER,TARRANT,TX,76248-5632,2981,Yes,Available,Yes,Available
"CITRUS HEIGHTS, CA",WM Supercenter,7010 AUBURN BLVD,CITRUS HEIGHTS,SACRAMENTO,CA,95621-4342,3712,Yes,Available,Yes,Available
N. CHARLESTON LADSON SC,Neighborhood Market,3685 LADSON RD,LADSON,CHARLESTON,SC,29456-4304,3713,No,,No,Available
LAWTON  OK,Neighborhood Market,3745 SW LEE BLVD,LAWTON,COMANCHE,OK,73505-8322,2984,No,Not Available,Yes,Not Available
"FRESNO, CA EF",WM Supercenter,7065 N INGRAM AVE,FRESNO,FRESNO,CA,93650-1083,2985,No,Available,Yes,Available
MANATI PUERTO RICO,WM Supercenter,PLAZA MONTE REAL,MANATI,PONCE,PR,00674-0000,3716,,,,
NEENAH WI,WM Supercenter,1155 W WINNECONNE AVE,NEENAH,WINNEBAGO,WI,54956-3693,2986,No,Available,No,Available
"NASHVILLE (HARDING), TN",WM Supercenter,4040 NOLENSVILLE PIKE,NASHVILLE,DAVIDSON,TN,37211-4516,3717,Yes,Not Available,Yes,Not Available
"DAVIE, FL",WM Supercenter,4301 S UNIVERSITY DR,DAVIE,BROWARD,FL,33328-3002,2987,No,Available,Yes,
"LA FAYETTE, GA",WM Supercenter,2625 N HWY 27,LA FAYETTE,WALKER,GA,30728-6975,2988,No,,No,Available
"FREMONT, CA",Wal-Mart,44009 OSGOOD RD,FREMONT,ALAMEDA,CA,94539-6403,2989,Yes,Available,Yes,Available
DODGE CITY KS,WM Supercenter,1905 N 14TH AVE,DODGE CITY,FORD,KS,67801-2304,372,Yes,,Yes,Not Available
BOWLING GREEN KY,WM Supercenter,150 WALTON AVE,BOWLING GREEN,WARREN,KY,42104-6361,299,No,,Yes,
"ARBUTUS, MD",WM Supercenter,3601 WASHINGTON BLVD,ARBUTUS,BALTIMORE,MD,21227-1627,3720,No,Not Available,No,Not Available
"MITCHELL, SD",WM Supercenter,1101 E SPRUCE ST,MITCHELL,DAVISON,SD,57301-4867,2990,No,,Yes,
"CEDAR PARK, TX",WM Supercenter,201 WALTON WAY,CEDAR PARK,WILLIAMSON,TX,78613-7016,2991,No,Not Available,No,Not Available
"KENT, OH",WM Supercenter,250 TALLMADGE RD,KENT,PORTAGE,OH,44240-7204,3722,No,Available,Yes,Available
"CORNING, NY",WM Supercenter,3217 SILVERBACK LN,PAINTED POST,STEUBEN,NY,14870-8911,2992,Yes,Available,Yes,Available
LOCUST GROVE OK,Neighborhood Market,800 E MAIN,LOCUST GROVE,MAYES,OK,74352-0000,3723,No,,No,Available
"SUGAR LAND, TX",WM Supercenter,345 HIGHWAY 6,SUGAR LAND,FORT BEND,TX,77478-4933,2993,No,Not Available,No,Not Available
"ST. JOSEPH (S), MO",WM Supercenter,3022 S BELT HWY,SAINT JOSEPH,BUCHANAN,MO,64503-1547,2994,Yes,Available,Yes,Available
ORANGEBURD STONEWALL SC,Neighborhood Market,332 STONEWALL JACKSON BLVD,ORANGEBURG,ORANGEBURG,SC,29115-7291,3724,Yes,,Yes,
"NILES, IL",WM Supercenter,8500 W GOLF RD,NILES,COOK,IL,60714-1154,3725,No,Available,Yes,Available
"PLANO (E), TX",Neighborhood Market,8040 INDEPENDENCE PKWY,PLANO,COLLIN,TX,75025-4059,2995,No,,No,Available
"GRAND BLANC, MI",WM Supercenter,6170 S SAGINAW RD,GRAND BLANC,GENESEE,MI,48439-7026,3726,No,Available,No,Available
"DALLAS (NW), TX",WM Supercenter,18121 MARSH LN,DALLAS,DALLAS,TX,75287-5742,2996,No,,Yes,Not Available
ALEXANDRIA JACKSON LA,Neighborhood Market,812 BELLEAU WOOD,ALEXANDRIA,RAPIDES,LA,71301-0000,3727,No,Not Available,Yes,Not Available
WALMART ON CAMPUS FAYETTEVILLE AR,WM On Campus/RX Facilities,616 N GARLAND AVE STE 363,FAYETTEVILLE,WASHINGTON,AR,72701-3116,2997,No,,No,
"NORTH LAS VEGAS (S), NV",WM Supercenter,3950 W LAKE MEAD BLVD,NORTH LAS VEGAS,CLARK,NV,89032-4895,3728,Yes,Available,Yes,Available
Loma Linda CA,Neighborhood Market,25755 BARTON RD,LOMA LINDA,SAN BERNARDINO,CA,92354-0001,2998,Yes,Available,Yes,Available
"SPARKS, NV",WM Supercenter,5065 PYRAMID WAY,SPARKS,WASHOE,NV,89436-7703,3729,No,Available,Yes,Available
COMMERCE GA,WM Supercenter,30983 HIGHWAY 441 S,COMMERCE,JACKSON,GA,30529-6655,3,No,,Yes,Available
HUNTSVILLE AR,WM Supercenter,157 GARY HATFIELD WAY,HUNTSVILLE,MADISON,AR,72740-3730,373,Yes,Available,Yes,Available
DEXTER MO,WM Supercenter,2025 W BUSINESS US HIGHWAY 60,DEXTER,STODDARD,MO,63841-2879,30,No,Available,Yes,Available
"PRESCOTT VALLEY, AZ",WM Supercenter,3450 N GLASSFORD HILL RD,PRESCOTT VALLEY,YAVAPAI,AZ,86314-1351,3730,No,,No,
JACKSONVILLE AL,WM Supercenter,1625 PELHAM RD S,JACKSONVILLE,CALHOUN,AL,36265-3314,300,No,,Yes,Available
"BERNALILLO, NM",WM Supercenter,460 NM HIGHWAY 528,BERNALILLO,SANDOVAL,NM,87004-6633,3731,No,Available,Yes,Available
"RIO RANCHO (W), NM",WM Supercenter,901 UNSER BLVD SE,RIO RANCHO,SANDOVAL,NM,87124-6365,3732,No,Available,Yes,Available
"TEGA CAY, SC",WM Supercenter,1151 STONECREST BLVD,TEGA CAY,YORK,SC,29708-6555,3733,No,Not Available,No,Not Available
"VERMILLION, SD",WM Supercenter,1207 PRINCETON AVE,VERMILLION,CLAY,SD,57069-7232,3734,No,,No,
PINEVILLE HWY 28 LA,Neighborhood Market,2750 HWY 28 E,PINEVILLE,RAPIDES,LA,71360-5713,3736,No,,Yes,Available
CHICAGO CICERO IL,WM Supercenter,3320 S CICERO AVE,CICERO,COOK,IL,60804-4531,3004,Yes,Available,Yes,Available
"NATRONA HEIGHTS, PA",WM Supercenter,100 HIGHLANDS MALL,NATRONA HEIGHTS,ALLEGHENY,PA,15065-1971,3738,No,Not Available,Yes,Not Available
"NAMPA (NORTHEAST), ID",WM Supercenter,5875 E FRANKLIN RD,NAMPA,CANYON,ID,83687-5020,3739,Yes,Available,Yes,Available
COWETA OK,WM Supercenter,11207 S STATE HIGHWAY 51,COWETA,WAGONER,OK,74429-6442,374,No,Available,No,Available
ATLANTA VINE CITY GA,WM Supercenter,835 MARTIN LUTHER KING JR DR NW,ATLANTA,FULTON,GA,30314-3644,3008,No,Not Available,No,Not Available
AURORA PICADILLY CO,Neighborhood Market,21475 E QUINCY AVE,AURORA,ARAPAHOE,CO,80015-2882,3740,No,Not Available,Yes,Not Available
"ATLANTA, GA",WM Supercenter,1105 RESEARCH CENTER ATLANTA DR SW,ATLANTA,FULTON,GA,30331-8592,3741,Yes,Available,Yes,Available
GADSDEN AL,WM Supercenter,340 E MEIGHAN BLVD,GADSDEN,ETOWAH,AL,35903-1049,301,Yes,Available,Yes,Available
"WOODLAND, WA",WM Supercenter,1486 DIKE ACCESS RD,WOODLAND,COWLITZ,WA,98674-9359,3742,No,,Yes,
WEST MONROE US 80 AND FLANAGAN LA,Neighborhood Market,2400 CYPRESS STREET,WEST MONROE,OUACHITA,LA,71291-0000,3743,No,,No,Available
BOYNTON BEACH FL,Neighborhood Market,9840 S MILITARY TRL STE G-1,BOYNTON BEACH,PALM BEACH,FL,33436-3201,3011,No,,Yes,
MONROE AMERICAS LA,Neighborhood Market,1840 MCKEEN PLACE,MONROE,OUACHITA,LA,71201-0000,3745,Yes,Available,Yes,Available
PINELLAS PARK 66TH FL,Neighborhood Market,7500 66TH ST,PINELLAS PARK,PINELLAS,FL,33781-0000,3013,No,,No,
SHREVEPORT LA BERT KOUNS NHM,Neighborhood Market,412 BERT KOUNS INDUSTRIAL LOOP,SHREVEPORT,CADDO,LA,71106-8127,3746,No,Not Available,No,Not Available
DALLAS S TX,WM Supercenter,200 SHORT BLVD,DALLAS,DALLAS,TX,75232-1300,3014,Yes,Available,Yes,Available
"MUNCIE, IN",WM Supercenter,1501 E 29TH ST,MUNCIE,DELAWARE,IN,47302-5890,3747,No,Not Available,No,Not Available
PLEASANT GROVE TX,Neighborhood Market,2827 S BUCKNER BLVD,DALLAS,DALLAS,TX,75227-6906,3015,No,,Yes,
ACWORTH(N) GA,WM Supercenter,3826 COBB PKWY NW,ACWORTH,COBB,GA,30101-4022,3748,No,Available,No,Available
"CINCINNATI (EVENDALE),OH",WM Supercenter,2801 CUNNINGHAM RD,CINCINNATI,HAMILTON,OH,45241-3270,3749,Yes,Available,Yes,Available
SPRING HILL TN,WM Supercenter,4959 MAIN ST,SPRING HILL,WILLIAMSON,TN,37174-2727,3017,No,Available,Yes,Available
HUNTSVILLE AL,WM Supercenter,3031 MEMORIAL PKWY SW,HUNTSVILLE,MADISON,AL,35801-5304,375,Yes,Available,No,Available
FOUNTAIN CO,WM Supercenter,4425 VENETUCCI BLVD,FOUNTAIN,EL PASO,CO,80906-4013,3018,No,Available,Yes,Available
"WARNER ROBINS (S), GA",WM Supercenter,502 BOOTH RD,WARNER ROBINS,HOUSTON,GA,31088-3422,3750,No,Available,No,Available
THORNTON 88TH CO,Neighborhood Market,850 E 88TH AVE,THORNTON,ADAMS,CO,80229-4999,3019,No,,Yes,
MURPHYSBORO IL,WM Supercenter,6495 COUNTRY CLUB RD,MURPHYSBORO,JACKSON,IL,62966-5202,302,Yes,,Yes,Not Available
"QUEEN CREEK, AZ",WM Supercenter,1725 W HUNT HWY,SAN TAN VALLEY,MARICOPA,AZ,85143-5203,3751,No,Available,Yes,Available
BOSSIER CITY RED CHUTE LA,Neighborhood Market,5700 SHED ROAD,BOSSIER CITY,BOSSIER,LA,71111-0000,3752,Yes,Available,Yes,Available
"CHELAN, WA",WM Supercenter,108 APPLE BLOSSOM DR,CHELAN,CHELAN,WA,98816-8679,3754,No,,Yes,Available
STOCKTON MARCH LN CA,Neighborhood Market,1189 E MARCH LN,STOCKTON,SAN JOAQUIN,CA,95210-3545,3022,No,,Yes,Available
SAN JOSE EVERGREEN CA,Neighborhood Market,4055 EVERGREEN VILLAGE SQ STE 140,SAN JOSE,SANTA CLARA,CA,95135-1764,3023,No,,No,
"ARLINGTON, WA",WM Supercenter,4010 172ND ST NE,ARLINGTON,SNOHOMISH,WA,98223-8482,3757,No,Available,Yes,Available
"CROOKSTON, MN",WM Supercenter,1930 SAHLSTROM DR,CROOKSTON,POLK,MN,56716-2819,3758,No,,No,
PALM DESERT CA,Neighborhood Market,72314 HIGHWAY 111,PALM DESERT,RIVERSIDE,CA,92260-2747,3026,No,,No,Available
"BOSSIER CITY, LA",WM Supercenter,2536 AIRLINE DR,BOSSIER CITY,BOSSIER,LA,71111-5813,376,No,Available,Yes,Available
"NEW ULM, MN",WM Supercenter,1720 WESTRIDGE RD,NEW ULM,BROWN,MN,56073-2337,3760,No,,No,
HOLLY SPRINGS MS,WM Supercenter,950 MACKIE DR,HOLLY SPRINGS,MARSHALL,MS,38635-7406,303,Yes,,Yes,
"THIEF RIVER FALLS, MN",WM Supercenter,1755 HIGHWAY 59 S,THIEF RIVER FALLS,PENNINGTON,MN,56701-4317,3761,No,,Yes,
"WEST DES MOINES (SW), IA",WM Supercenter,6365 STAGECOACH DR,WEST DES MOINES,DALLAS,IA,50266-8083,3762,No,Available,Yes,Available
"EL PASO (MONTANA), TX",WM Supercenter,12236 MONTANA AVE,EL PASO,EL PASO,TX,79938-4851,3763,No,Available,Yes,Available
"LINDALE, TX",WM Supercenter,105 CENTENNIAL BLVD,LINDALE,SMITH,TX,75771-8800,3764,Yes,Available,Yes,Available
"PIQUA, OH",WM Supercenter,1300 E ASH ST,PIQUA,MIAMI,OH,45356-4100,3765,No,,Yes,
WASHINGTON FT TOTTEN DC,WM Supercenter,310 RIGGS RD NE,WASHINGTON,DISTRICT OF COLUMBIA,DC,20011-2534,3035,Yes,Available,Yes,Available
"ALTA VISTA, VA",WM Supercenter,125 CLARION RD,ALTAVISTA,CAMPBELL,VA,24517-1164,3768,No,,Yes,Available
"MACEDON, NY",WM Supercenter,425 STATE ROUTE 31,MACEDON,WAYNE,NY,14502-9108,3842,No,,No,
SUMTER MCCRAYS SC,Neighborhood Market,343 PINEWOOD RD,SUMTER,SUMTER,SC,29150-5442,377,Yes,,Yes,Not Available
"DENTON, MD",WM Supercenter,610 LEGION RD,DENTON,CAROLINE,MD,21629-2040,3843,No,,Yes,Available
"STUART, VA",WM Supercenter,19265 JEB STUART HWY,STUART,PATRICK,VA,24171-4458,3770,No,,Yes,
GLENDALE 51 AND OLIVE AZ,Neighborhood Market,5137 W OLIVE AVE,GLENDALE,MARICOPA,AZ,85302-4204,3844,No,,No,
"PHOENIX (LAVEEN), AZ",WM Supercenter,6150 S 35TH AVE,PHOENIX,MARICOPA,AZ,85041-5004,3771,Yes,Available,Yes,Available
SPRINGFIELD TN,WM Supercenter,3360 TOM AUSTIN HWY,SPRINGFIELD,ROBERTSON,TN,37172-4516,304,Yes,Available,Yes,Available
"GLENDALE (67&PEORIA), AZ",Neighborhood Market,6645 W PEORIA AVE,GLENDALE,MARICOPA,AZ,85302-1011,3845,No,,No,
"JONESVILLE, VA",WM Supercenter,468 TRADE CENTER LN,JONESVILLE,LEE,VA,24263-7463,3772,Yes,Available,Yes,Available
"MESA (LINDSAY), AZ",Neighborhood Market,2725 E MCKELLIPS RD,MESA,MARICOPA,AZ,85213-3016,3846,No,Available,Yes,Available
"MESQUITE, NV",WM Supercenter,1120 W PIONEER BLVD,MESQUITE,CLARK,NV,89027-8864,3847,No,,Yes,Available
"FORT WORTH (W), TX",WM Supercenter,9500 CLIFFORD ST,FORT WORTH,TARRANT,TX,76108-4403,3773,No,Available,No,Available
"SYRACUSE, UT",WM Supercenter,2228 W 1700 S,SYRACUSE,DAVIS,UT,84075-7126,3848,No,Available,Yes,Available
COVINGTON LA,Neighborhood Market,2800 N HWY 190,COVINGTON,ST. TAMMANY PARISH,LA,70433-9049,3042,No,Not Available,Yes,Not Available
WILLIAMSTOWN NJ,WM Supercenter,1840 S BLACK HORSE PIKE,WILLIAMSTOWN,GLOUCESTER,NJ,08094-3883,3774,Yes,Available,Yes,Available
FORT WORTH  TX,Neighborhood Market,4536 HERITAGE TRACE PARKWAY,FORT WORTH,TARRANT,TX,76244-0000,3043,Yes,Available,No,Available
CUERO TX,Wal-Mart,1202 E BROADWAY ST,CUERO,DEWITT,TX,77954-2124,385,No,,No,
FORT WORTH SE TX,WM Supercenter,2900 RENAISSANCE SQUARE,FORT WORTH,TARRANT,TX,76105-0000,3044,No,,No,Available
"TUMWATER, WA",WM Supercenter,5900 LITTLEROCK RD SW,TUMWATER,THURSTON,WA,98512-7355,3850,No,Available,Yes,Available
"FRISCO (W), TX",WM Supercenter,12220 FM 423,FRISCO,DENTON,TX,75033-5222,3777,No,,Yes,Available
MODESTO ORANGE CA,Neighborhood Market,1421 COFFEE RD,MODESTO,STANISLAUS,CA,95355-3170,3046,Yes,,Yes,
"CASPER (W), WY",WM Supercenter,4255 CY AVE,CASPER,NATRONA,WY,82604-4247,3778,No,Available,Yes,Available
TURLOCK C CA,Neighborhood Market,2480 GEER ROAD,TURLOCK,STANISLAUS,CA,95382-1426,3047,No,Available,No,Available
"LAFAYETTE, IN",WM Supercenter,2347 VETERANS MEMORIAL PKWY S,LAFAYETTE,TIPPECANOE,IN,47909-9183,3851,No,Not Available,Yes,Not Available
"UNICOI, TN",WM Supercenter,110 ROCKY BOTTOM DR,UNICOI,UNICOI,TN,37692-4030,3852,No,,No,
"HURON, SD",WM Supercenter,2791 DAKOTA AVE S,HURON,BEADLE,SD,57350-4411,3853,No,,Yes,
HOLTON KS,WM Supercenter,427 S ARIZONA AVE,HOLTON,JACKSON,KS,66436-1217,378,No,Available,No,Available
TUCSON KOLB AZ,Neighborhood Market,2550 S KOLB RD,TUCSON,PIMA,AZ,85710-8427,3049,Yes,Available,Yes,Available
"FALLSTON, MD",WM Supercenter,303 FALLSTON BLVD,FALLSTON,HARFORD,MD,21047-2540,3780,No,Available,Yes,Available
CARTHAGE MS,WM Supercenter,905 HIGHWAY 16 W,CARTHAGE,LEAKE,MS,39051-4426,305,Yes,,Yes,
"INDIANAPOLIS (LAFYTE), IN",WM Supercenter,4545 LAFAYETTE RD,INDIANAPOLIS,MARION,IN,46254-2033,3781,No,Available,No,Available
BEAVERTON MURRY OR,Neighborhood Market,9055 SW MURRAY BLVD,BEAVERTON,WASHINGTON,OR,97008-7434,3050,No,Available,No,Available
"ORLANDO (NARCOOSSEE), FL",WM Supercenter,5991 S GOLDENROD RD,ORLANDO,ORANGE,FL,32822-8775,3782,No,Available,No,Available
"MONONA, WI",WM Supercenter,2151 ROYAL AVE,MONONA,DANE,WI,53713-4812,3857,No,,Yes,
"DAYTON (N), OH",WM Supercenter,3465 YORK COMMONS BLVD,DAYTON,MONTGOMERY,OH,45414-2675,3783,No,Available,Yes,
"BOCA RATON (SW), FL",WM Supercenter,22100 S STATE ROAD 7,BOCA RATON,PALM BEACH,FL,33428-4218,3858,Yes,Available,No,Available
EVERETT MALL WA,WM Supercenter,1605 SE EVERETT MALL WAY,EVERETT,SNOHOMISH,WA,98208-2838,3053,No,,No,
JENNINGS LA,WM Supercenter,303 E INTERSTATE DR,JENNINGS,JEFFERSON DAVIS,LA,70546-3021,386,No,Available,Yes,Available
"FRANKLIN, OH",WM Supercenter,1275 E 2ND ST,FRANKLIN,WARREN,OH,45005-1994,3784,No,Available,No,Available
"YOUNGSTOWN, OH",WM Supercenter,200 GOLDIE RD,YOUNGSTOWN,UNION,OH,44505-1948,3860,Yes,Available,Yes,Available
"PENSACOLA (WARRINTON), FL",WM Supercenter,501 N NAVY BLVD,PENSACOLA,ESCAMBIA,FL,32507-2011,3785,No,Available,No,Available
CATOOSA OK,WM Supercenter,19801 ROBSON RD,CATOOSA,ROGERS,OK,74015-1510,3055,No,Available,Yes,Available
"GILBERT (POWER), AZ",WM Supercenter,5290 S POWER RD,GILBERT,MARICOPA,AZ,85295-8478,3861,Yes,Available,Yes,Available
"BUFORD (E), GA",WM Supercenter,3250 SARDIS CHURCH RD,BUFORD,GWINNETT,GA,30519-6019,3786,No,Not Available,Yes,Not Available
BULVERDE TX,WM Supercenter,305 SINGING OAKS,SPRING BRANCH,COMAL,TX,78070-6505,3056,No,,No,Available
HOLLY HILL FL,Neighborhood Market,1905 NOVA RD,HOLLY HILL,VOLUSIA,FL,32117-1421,3862,No,,No,Available
HELOTES TX,WM Supercenter,12550 LESLIE RD,HELOTES,BEXAR,TX,78023-4740,3057,No,,Yes,
"LAS VEGAS (T PINES), NV",Neighborhood Market,6310 W CHARLESTON BLVD,LAS VEGAS,CLARK,NV,89146-1128,3788,No,Available,Yes,Available
SAN ANTONIO TX,WM Supercenter,918 BANDERA RD,SAN ANTONIO,BEXAR,TX,78228-4923,3058,Yes,,Yes,
"JACKSONVILLE (S), NC",WM Supercenter,561 YOPP RD,JACKSONVILLE,ONSLOW,NC,28540-3591,3864,Yes,Available,Yes,Available
"OGDEN, UT",WM Supercenter,1959 WALL AVE,OGDEN,WEBER,UT,84401-0313,3789,No,Available,No,Available
OZARK MO,WM Supercenter,2004 W MARLER LN,OZARK,CHRISTIAN,MO,65721-7661,379,No,,No,Available
"LOCKPORT, IL",WM Supercenter,16241 S FARRELL RD,LOCKPORT,WILL,IL,60441-8101,3790,No,Not Available,Yes,Not Available
CANTON MS,WM Supercenter,244 FEATHER LN,CANTON,MADISON,MS,39046-9793,3059,Yes,,Yes,Available
"THREE RIVERS, MI",WM Supercenter,101 S TOLBERT DR,THREE RIVERS,ST. JOSEPH,MI,49093-8280,3791,No,,Yes,
"LANCASTER, OH",WM Supercenter,2687 N MEMORIAL DR,LANCASTER,FAIRFIELD,OH,43130-1670,3792,Yes,,Yes,Available
ARAB AL,WM Supercenter,1450 NO. BRINDLEE MT,ARAB,MARSHALL,AL,35016-5431,306,Yes,Available,Yes,Available
"WESTMINSTER(I25/136), CO",WM Supercenter,200 W 136TH AVE,WESTMINSTER,ADAMS,CO,80234-1204,3867,No,Available,Yes,Available
YAZOO CITY MS,WM Supercenter,2129 GRAND AVE,YAZOO CITY,YAZOO,MS,39194-2312,3060,No,,No,
"SHREVEPORT, LA",WM Supercenter,1125 SHREVEPORT BARKSDALE HWY,SHREVEPORT,CADDO,LA,71105-2404,3868,No,Available,Yes,Available
"FEDERAL WAY (S), WA",WM Supercenter,34520 16TH AVE S,FEDERAL WAY,KING,WA,98003-6802,3794,Yes,Available,Yes,
SHREWSBURY MO,WM Supercenter,7437 WATSON ROAD,SHREWSBURY,ST. LOUIS,MO,63119-0000,3061,Yes,Available,Yes,Available
"RICHMOND, VA",WM Supercenter,1504 N PARHAM RD,RICHMOND,HENRICO,VA,23229-4621,3869,No,,No,
